"row_id","icd9_code","short_title","long_title"
"7641","80000","Closed skull vault fx","Closed fracture of vault of skull without mention of intracranial injury, unspecified state of consciousness"
"7642","80001","Cl skull vlt fx w/o coma","Closed fracture of vault of skull without mention of intracranial injury, with no loss of consciousness"
"7643","80002","Cl skull vlt fx-brf coma","Closed fracture of vault of skull without mention of intracranial injury, with brief [less than one hour] loss of consciousness"
"7644","80003","Cl skull vlt fx-mod coma","Closed fracture of vault of skull without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness"
"7645","80004","Cl skl vlt fx-proln coma","Closed fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"7646","80005","Cl skul vlt fx-deep coma","Closed fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"7647","80006","Cl skull vlt fx-coma NOS","Closed fracture of vault of skull without mention of intracranial injury, with loss of consciousness of unspecified duration"
"7648","80009","Cl skl vlt fx-concus NOS","Closed fracture of vault of skull without mention of intracranial injury, with concussion, unspecified"
"7649","80010","Cl skl vlt fx/cerebr lac","Closed fracture of vault of skull with cerebral laceration and contusion, unspecified state of consciousness"
"7650","80011","Cl skull vlt fx w/o coma","Closed fracture of vault of skull with cerebral laceration and contusion, with no loss of consciousness"
"7651","80012","Cl skull vlt fx-brf coma","Closed fracture of vault of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness"
"7652","80013","Cl skull vlt fx-mod coma","Closed fracture of vault of skull with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness"
"7653","80014","Cl skl vlt fx-proln coma","Closed fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"7654","80015","Cl skul vlt fx-deep coma","Closed fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"7655","80016","Cl skull vlt fx-coma NOS","Closed fracture of vault of skull with cerebral laceration and contusion, with loss of consciousness of unspecified duration"
"7656","80019","Cl skl vlt fx-concus NOS","Closed fracture of vault of skull with cerebral laceration and contusion, with concussion, unspecified"
"7657","80020","Cl skl vlt fx/mening hem","Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness"
"7658","80021","Cl skull vlt fx w/o coma","Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness"
"7659","80022","Cl skull vlt fx-brf coma","Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness"
"7660","80023","Cl skull vlt fx-mod coma","Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness"
"7661","80024","Cl skl vlt fx-proln coma","Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"7662","80025","Cl skul vlt fx-deep coma","Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"7663","80026","Cl skull vlt fx-coma NOS","Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration"
"7664","80029","Cl skl vlt fx-concus NOS","Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified"
"7665","80030","Cl skull vlt fx/hem NEC","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness"
"7666","80031","Cl skull vlt fx w/o coma","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness"
"7667","80032","Cl skull vlt fx-brf coma","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
"7668","80033","Cl skull vlt fx-mod coma","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness"
"7669","80034","Cl skl vlt fx-proln coma","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"7670","80035","Cl skul vlt fx-deep coma","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"7671","80036","Cl skull vlt fx-coma NOS","Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with loss of consciousness of unspecified duration"
"7182","7540","Cong skull/face/jaw def","Congenital musculoskeletal deformities of skull, face, and jaw"
"7763","80125","Cl skl base fx-deep coma","Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
"7764","80126","Cl skul base fx-coma NOS","Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration"
"7942","80129","Cl skull base fx-concuss","Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified"
"7943","80130","Cl skull base fx/hem NEC","Closed fracture of base of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness"
"7944","80131","Cl skul base fx w/o coma","Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness"
"7945","80132","Cl skul base fx-brf coma","Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
"7946","80133","Cl skul base fx-mod coma","Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness"
"7947","80134","Cl skl base fx-prol coma","Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
"7948","80135","Cl skl base fx-deep coma","Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
